recipe_id,rating
38,4.25
39,3.0
40,4.333333333333333
41,4.5
43,1.0
45,2.6666666666666665
46,5.0
48,1.0
49,4.35
50,4.5
52,5.0
53,3.0
55,4.75
58,4.428571428571429
59,5.0
62,4.681818181818182
63,5.0
66,4.947368421052632
67,5.0
70,0.5
81,5.0
82,2.3333333333333335
84,5.0
85,5.0
91,4.833333333333333
92,4.8
93,4.625
94,5.0
100,3.0
108,3.0
109,5.0
110,3.6666666666666665
112,3.7142857142857144
113,3.0
114,5.0
115,5.0
118,4.0
119,4.0
120,4.6
122,5.0
123,5.0
124,5.0
126,5.0
128,5.0
131,4.2
133,4.75
135,5.0
136,4.6
139,5.0
141,4.0
142,4.681818181818182
143,4.666666666666667
144,3.0
146,3.0
147,5.0
148,0.0
149,5.0
150,4.583333333333333
152,5.0
153,3.7916666666666665
154,2.5
156,3.0
161,0.0
164,5.0
165,5.0
167,4.578947368421052
170,4.142857142857143
171,4.0
172,4.25
174,5.0
175,4.4
176,5.0
178,4.0
180,4.4
181,2.6666666666666665
183,5.0
185,5.0
186,4.777777777777778
187,4.888888888888889
189,5.0
190,2.75
191,5.0
192,4.689655172413793
194,4.333333333333333
195,5.0
196,5.0
197,5.0
198,4.36734693877551
199,5.0
201,4.5
203,3.8125
205,5.0
206,5.0
207,5.0
209,3.0
210,5.0
212,5.0
213,4.0
215,5.0
216,2.5
223,3.0
224,3.75
226,5.0
229,4.333333333333333
231,5.0
232,4.2272727272727275
236,5.0
238,5.0
240,4.0
242,4.4
243,4.666666666666667
245,4.5
246,4.615384615384615
247,5.0
249,4.285714285714286
251,3.0
252,4.0
256,4.5
261,4.666666666666667
262,0.0
266,4.166666666666667
270,4.25
271,4.923076923076923
272,4.666666666666667
273,5.0
274,5.0
275,5.0
276,3.8333333333333335
277,3.0
278,4.2
279,5.0
280,3.68
281,5.0
282,5.0
283,5.0
284,5.0
287,2.0
288,2.6666666666666665
289,5.0
290,4.666666666666667
291,4.0
293,4.0
294,3.0
295,5.0
297,5.0
298,4.333333333333333
300,4.666666666666667
301,5.0
302,5.0
304,4.4
310,5.0
311,5.0
314,4.461538461538462
316,2.4
318,4.75
321,5.0
324,4.666666666666667
325,4.0
327,4.75
328,3.6666666666666665
329,4.333333333333333
332,5.0
337,2.0
339,5.0
342,5.0
343,4.5
344,2.0
345,3.0
346,4.433333333333334
349,2.0
350,2.0
351,5.0
352,4.0
355,4.111111111111111
356,4.444444444444445
358,1.0
360,5.0
361,3.625
363,4.5
364,4.0
365,5.0
366,5.0
373,5.0
374,5.0
375,5.0
376,4.371428571428571
378,4.625
379,4.0
380,4.0
381,4.166666666666667
383,4.0
384,5.0
385,3.0
387,5.0
393,5.0
396,3.0
399,3.8
400,4.0
401,3.0
402,5.0
404,4.0
407,5.0
408,4.5
409,3.0
411,4.0
412,4.333333333333333
413,5.0
414,5.0
418,5.0
422,4.0
423,1.0
424,5.0
428,5.0
429,3.5
431,4.6
432,4.510204081632653
434,4.0
435,4.5
436,5.0
437,5.0
441,5.0
444,4.0
445,4.545454545454546
449,0.0
450,4.666666666666667
454,4.0
456,4.186046511627907
458,5.0
459,4.0
460,2.5
461,4.0
464,4.5
465,5.0
466,5.0
467,2.5
469,3.4285714285714284
471,3.6666666666666665
472,3.5
473,5.0
478,4.666666666666667
483,4.5
484,4.5
486,5.0
489,1.0
490,5.0
492,3.5
493,5.0
495,5.0
496,5.0
498,4.666666666666667
502,4.777777777777778
503,3.3333333333333335
504,5.0
506,4.125
507,4.0
508,4.666666666666667
512,4.5
514,3.6666666666666665
517,4.833333333333333
519,4.428571428571429
520,3.6666666666666665
524,4.375
525,5.0
526,4.5
531,3.0
533,3.0
534,5.0
535,4.75
536,3.984848484848485
539,5.0
540,3.5
543,3.75
544,4.111111111111111
546,4.75
547,4.5
548,4.619047619047619
551,5.0
555,3.5
556,4.416666666666667
557,5.0
558,4.708333333333333
559,4.0
560,4.5
561,4.857142857142857
563,3.0
564,4.0
565,4.2
567,3.5
570,4.0
571,4.2
579,0.0
580,4.0
581,4.0
582,4.0
583,1.0
584,3.0
585,4.0
587,4.0
588,3.5
589,4.75
590,5.0
591,5.0
593,4.111111111111111
595,3.0
601,4.65
602,5.0
603,5.0
604,3.7333333333333334
605,4.555555555555555
606,3.5714285714285716
607,4.074829931972789
608,3.8
609,4.625
612,5.0
614,5.0
615,4.354838709677419
616,5.0
617,3.7142857142857144
623,5.0
626,3.8
628,4.0
630,4.333333333333333
631,5.0
632,4.349397590361446
634,4.545454545454546
635,5.0
636,4.818181818181818
637,5.0
638,4.125
639,5.0
642,4.461538461538462
643,5.0
644,5.0
645,2.75
647,4.791666666666667
648,4.470588235294118
649,4.0
650,4.0
651,4.5
652,4.666666666666667
653,5.0
657,4.666666666666667
658,4.0
659,4.6
660,4.0
661,2.2
665,3.875
666,5.0
669,2.5
670,4.0
671,4.2
672,4.0
673,4.571428571428571
674,3.6
676,2.3333333333333335
680,3.5
682,5.0
683,3.375
685,5.0
688,4.0
689,4.5
690,4.2
691,4.6
692,4.0
693,4.176470588235294
696,5.0
705,4.5
707,5.0
712,4.0
719,4.266666666666667
730,5.0
736,3.888888888888889
